IncDay	Incubation	Type	Habitat	Group	SampleDay	Prod12CO2.ug.day	Prod13CO2.ug.day	TotalCO2.ug.day	Prod12CH4.ug.day	Prod13CH4.ug.day	TotalCH4.ug.day	gCLit	gCPeat
II_Fen_C3_d10	II_Fen_C3	Control	Fen	Two	10	955.581575786101	11.6107304921468	967.192306278248	0	0	1.03135044196369	0	2.92
II_Fen_C3_d15	II_Fen_C3	Control	Fen	Two	15	913.090683613855	11.0927300807439	924.183413694599	0	0	0.629323642909115	0	2.92
II_Fen_C3_d5	II_Fen_C3	Control	Fen	Two	5	868.349194383228	10.5347735442071	878.883967927435	0	0	1.16826914667623	0	2.92
II_Fen_E1_d1	II_Fen_E1	Enriched	Fen	Two	1	1724.80713407655	393.781155876989	2118.58828995353	0	0	0.0708668205843172	0.246848	2.92
II_Fen_E1_d10	II_Fen_E1	Enriched	Fen	Two	10	2139.61293324559	2429.16837736037	4568.78131060596	19.3861056483258	19.3132760002934	38.6993816486193	0.246848	2.92
II_Fen_E1_d15	II_Fen_E1	Enriched	Fen	Two	15	1689.31814064335	1569.50376104579	3258.82190168914	19.4191551014729	14.1699914534782	33.5891465549511	0.246848	2.92
II_Fen_E1_d5	II_Fen_E1	Enriched	Fen	Two	5	2545.20230886004	3287.27464933187	5832.4769581919	47.5805008768813	46.4748604356233	94.0553613125046	0.246848	2.92
II_Fen_E2_d1	II_Fen_E2	Enriched	Fen	Two	1	2104.04486348848	484.399444936259	2588.44430842474	0	0	0	0.246848	2.92
II_Fen_E2_d10	II_Fen_E2	Enriched	Fen	Two	10	1965.45190359154	2242.55298451433	4208.00488810587	26.9085352127791	27.6972633272795	54.6057985400585	0.246848	2.92
II_Fen_E2_d15	II_Fen_E2	Enriched	Fen	Two	15	1483.10734707178	1420.97692222401	2904.08426929579	22.0583938594592	17.1861527227174	39.2445465821766	0.246848	2.92
II_Fen_E2_d5	II_Fen_E2	Enriched	Fen	Two	5	2427.8581629327	3128.85712402093	5556.71528695363	70.5163847996544	69.0792827163619	139.595667516016	0.246848	2.92
II_Fen_E3_d1	II_Fen_E3	Enriched	Fen	Two	1	2033.30726651141	390.821508957186	2424.1287754686	0	0	1.83715564064987	0.246848	2.92
II_Fen_E3_d10	II_Fen_E3	Enriched	Fen	Two	10	1843.00358214783	2162.09698784984	4005.10056999767	17.0917948400559	17.3878707395066	34.4796655795626	0.246848	2.92
II_Fen_E3_d15	II_Fen_E3	Enriched	Fen	Two	15	1590.0249878564	1680.49737417857	3270.52236203497	20.3612965201279	17.2713028207476	37.6325993408755	0.246848	2.92
II_Fen_E3_d5	II_Fen_E3	Enriched	Fen	Two	5	2473.45363241502	3254.27558613405	5727.72921854907	63.3495606165648	62.993898933178	126.343459549743	0.246848	2.92
II_Fen_N1_d1	II_Fen_N1	Natural	Fen	Two	1	2674.72716489064	20.8373908974645	2695.56455578811	0	0	0.354578811887832	0.246848	2.92
II_Fen_N1_d10	II_Fen_N1	Natural	Fen	Two	10	3584.54233846781	45.5033919264143	3630.04573039422	37.8718613143756	0.405347459913074	38.2772087742886	0.246848	2.92
II_Fen_N1_d15	II_Fen_N1	Natural	Fen	Two	15	3186.78848871183	40.4423992576312	3227.23088796946	48.3769730361654	0.52077490395462	48.89774794012	0.246848	2.92
