FeatureID,Formula,C,H,N,O,P,S,Name,Calc. MW,name4plot,H_to_C,O_to_C,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Class,SampleID,AUC,sample_type,type,time,label_irreg
Feature0240,C38 H69 N12 O13 P3,38,69,12,13,3,0,NA,994.43001,Feature0240,1.8157894736842106,0.34210526315789475,-0.5789473684210522,76.79999999999998,12,-1,-1.6,0,-16,Protein,II_Palsa_C1,5693354.99508162,Unlabeled,peat,T2,Non_labeled
Feature0240,C38 H69 N12 O13 P3,38,69,12,13,3,0,NA,994.43001,Feature0240,1.8157894736842106,0.34210526315789475,-0.5789473684210522,76.79999999999998,12,-1,-1.6,0,-16,Protein,II_Palsa_N1,903728.441567245,Unlabeled,peat_and_litter,T2,Non_labeled
Feature0240,C38 H69 N12 O13 P3,38,69,12,13,3,0,NA,994.43001,Feature0240,1.8157894736842106,0.34210526315789475,-0.5789473684210522,76.79999999999998,12,-1,-1.6,0,-16,Protein,II_Palsa_N2,112030407.658834,Unlabeled,peat_and_litter,T2,Non_labeled
Feature0240,C38 H69 N12 O13 P3,38,69,12,13,3,0,NA,994.43001,Feature0240,1.8157894736842106,0.34210526315789475,-0.5789473684210522,76.79999999999998,12,-1,-1.6,0,-16,Protein,III_Palsa_C1,238930.544243281,Unlabeled,peat,T3,Non_labeled
Feature0240,C38 H69 N12 O13 P3,38,69,12,13,3,0,NA,994.43001,Feature0240,1.8157894736842106,0.34210526315789475,-0.5789473684210522,76.79999999999998,12,-1,-1.6,0,-16,Protein,III_Palsa_E1,345066.646197191,Labeled,peat_and_litter,T3,Non_labeled
Feature0240,C38 H69 N12 O13 P3,38,69,12,13,3,0,NA,994.43001,Feature0240,1.8157894736842106,0.34210526315789475,-0.5789473684210522,76.79999999999998,12,-1,-1.6,0,-16,Protein,III_Palsa_E2,26391865.6068904,Labeled,peat_and_litter,T3,Non_labeled
Feature0240,C38 H69 N12 O13 P3,38,69,12,13,3,0,NA,994.43001,Feature0240,1.8157894736842106,0.34210526315789475,-0.5789473684210522,76.79999999999998,12,-1,-1.6,0,-16,Protein,III_Palsa_N1,206358131.015559,Unlabeled,peat_and_litter,T3,Non_labeled
Feature0240,C38 H69 N12 O13 P3,38,69,12,13,3,0,NA,994.43001,Feature0240,1.8157894736842106,0.34210526315789475,-0.5789473684210522,76.79999999999998,12,-1,-1.6,0,-16,Protein,III_Palsa_N2,789624.94260351,Unlabeled,peat_and_litter,T3,Non_labeled
Feature0239,C61 H85 N4 O P3,61,85,4,1,3,0,NA,982.59045,Feature0239,1.3934426229508197,0.01639344262295082,-1.4098360655737707,100.48032786885247,23,22,0.2830188679245283,0.2897196261682243,15,Unsaturated HC,I_Palsa_C1,102722.673777314,Unlabeled,peat,T1,Non_labeled
Feature0239,C61 H85 N4 O P3,61,85,4,1,3,0,NA,982.59045,Feature0239,1.3934426229508197,0.01639344262295082,-1.4098360655737707,100.48032786885247,23,22,0.2830188679245283,0.2897196261682243,15,Unsaturated HC,I_Palsa_C2,125615.818724838,Unlabeled,peat,T1,Non_labeled
Feature0239,C61 H85 N4 O P3,61,85,4,1,3,0,NA,982.59045,Feature0239,1.3934426229508197,0.01639344262295082,-1.4098360655737707,100.48032786885247,23,22,0.2830188679245283,0.2897196261682243,15,Unsaturated HC,I_Palsa_E1,3593646.65604494,Labeled,peat_and_litter,T1,Labeled
Feature0239,C61 H85 N4 O P3,61,85,4,1,3,0,NA,982.59045,Feature0239,1.3934426229508197,0.01639344262295082,-1.4098360655737707,100.48032786885247,23,22,0.2830188679245283,0.2897196261682243,15,Unsaturated HC,I_Palsa_E2,12530792.8019145,Labeled,peat_and_litter,T1,Labeled
Feature0239,C61 H85 N4 O P3,61,85,4,1,3,0,NA,982.59045,Feature0239,1.3934426229508197,0.01639344262295082,-1.4098360655737707,100.48032786885247,23,22,0.2830188679245283,0.2897196261682243,15,Unsaturated HC,I_Palsa_N1,4164358.26513051,Unlabeled,peat_and_litter,T1,Non_labeled
Feature0239,C61 H85 N4 O P3,61,85,4,1,3,0,NA,982.59045,Feature0239,1.3934426229508197,0.01639344262295082,-1.4098360655737707,100.48032786885247,23,22,0.2830188679245283,0.2897196261682243,15,Unsaturated HC,II_Palsa_C1,109262.383984628,Unlabeled,peat,T2,Non_labeled
Feature0239,C61 H85 N4 O P3,61,85,4,1,3,0,NA,982.59045,Feature0239,1.3934426229508197,0.01639344262295082,-1.4098360655737707,100.48032786885247,23,22,0.2830188679245283,0.2897196261682243,15,Unsaturated HC,II_Palsa_C2,46688.6981721339,Unlabeled,peat,T2,Non_labeled
