Weight,PNC,PNE,I_Palsa_E2,III_Palsa_N1,I_Palsa_C1,I_Palsa_C2,I_Palsa_E1,I_Palsa_N1,I_Palsa_N2,II_Palsa_C1,II_Palsa_C2,II_Palsa_E1,II_Palsa_E2,II_Palsa_N1,II_Palsa_N2,III_Palsa_C1,III_Palsa_C2,III_Palsa_E1,III_Palsa_E2,III_Palsa_N2,all
612.26381,28000221.9453079,55524863.6027751,NA,30004803.5348465,NA,NA,NA,723395.789141006,1497103.3514251,674795.838416183,NA,NA,46079.1479972377,NA,9482876.57950481,NA,NA,NA,NA,NA,1
610.42172,162310613.575785,134948748.135141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
610.15638,70152942.9397455,26247940.0606205,2085336.22665951,1841808.66538584,NA,135762.951284473,682618.322745417,3873223.70216614,3061387.78517156,104759.744457456,NA,510788.166685935,532479.247941033,149215.962333046,NA,169623.948379849,707220.844440546,264956.349494394,69401.9717059261,1898912.0286569,1
610.15435,1143027822.48523,106341942.13997,67813.9568515251,4758240.79879584,20535539.013293,2358999.83008168,47257.8193076644,4503151.23744844,1529447.44899443,4572883.28321886,1569946.38533494,2142288.71890933,2262363.27708811,5076498.44070841,4397432.09728959,563552.187945048,17119150.8779936,2980566.02869708,30612.7770234538,8338391.92741869,1
610.15435,105671468.529391,206373233.824869,897246.431791692,165960.701628937,198926.365624194,NA,NA,2058551.53369533,607749.118311294,NA,60765.6325392661,NA,154416.9015272,NA,119393.29780358,NA,172780.053580895,162464.035220013,42240.529552149,831474.78053397,1
610.15435,70152942.9397455,26247940.0606205,2085336.22665951,1841808.66538584,1851504.60186177,135762.951284473,682618.322745417,3873223.70216614,3061387.78517156,104759.744457456,NA,NA,532479.247941033,123057.116410993,NA,169623.948379849,707220.844440546,NA,NA,NA,1
604.39844,NA,329232.251534167,33506946.8446014,5426829.32290488,58713028.0520055,82428174.7717686,7836027.86946682,7698692.2262148,400212.571572559,830034.178211814,10950866.532497,9954995.47138924,7679706.56700862,13012789.8958621,10918771.3463666,9384664.7369208,4430107.28686431,18263209.310703,9296092.07536446,40861297.3657507,1
600.29758,3092418.23300308,66788.0187719491,84441.9692066523,1466817.52525718,520781.7971718,403528.231222614,1126787.02611247,421983.930394593,49706238.6637112,561874.868994909,703651.623685633,NA,1020548.0335169,526714.943700735,102102.454251746,2560458.77158166,294959.408159264,75859.0632533467,283203.211132479,317252.921377792,1
598.22719,14275428.6215534,3989602.24407628,1277016.06908834,96457906.5161477,5032980.83274717,66964912.5308282,1358656.73717825,5750165.19023871,1101879.27375936,77575457.8444603,2403466.90352808,13331358.7391008,9952052.55003007,8228232.36308885,42829147.0760631,8074198.31713306,5061281.88448583,25020066.8005124,12589098.8786168,158376013.720475,1
598.22718,141320401.593306,74396677.9662048,7590591.93356378,4792193.71502082,7510480.50585177,2472967.8185615,2081812.31416502,11393095.1191267,5179303.41599896,2058232.28571278,2606057.46334833,2177741.79309052,3988651.87349274,4229705.57674221,2608377.16790939,5027716.47839641,5344745.08424655,4432020.59850243,2100458.75949319,5221201.8979239,1
598.22703,1697963.1542308,NA,1458455.30037951,149255745.029113,7096892.47438569,27828709.9435562,1462087.93661217,9945560.1565633,1102296.14387357,35507760.9778571,2694217.18095685,12962233.8019468,12738481.0220724,9289063.43904014,55837623.280296,8591793.83975862,8131878.06525179,26442637.4383798,129520267.919774,191612608.833479,1
598.19045,59799833.7225847,49246388.883288,6838217.32810978,3518050.43638324,863890.965759562,2133717.393204,7088731.42296902,6565031.03045796,5698905.96508754,1494978.33349752,679607.698242558,946486.836230803,1191566.2457337,2637829.69489128,1859217.86127409,1569508.06380499,881621.564376311,2880743.12106071,1596553.52517264,5053377.94520913,1
596.15383,2933898.02841952,72640.0923572653,NA,58157809.8483397,466075.397247967,1838989.668449,NA,27757.0627562403,NA,2258532.77531863,159138.981890612,470372.31848117,1087239.9118562,4312559.19585599,39934636.6146981,83949.80106697,607637.365949261,13110699.6512729,3604006.35795102,56913493.2571938,1
596.1387,305078.530580534,57027.0860049848,235424.950305444,37141112.761099,566942.462651048,405215.619895096,183022.687712514,737482.58117232,375711.046562495,71243753.0189684,492025.210495174,1413002.36547904,1525322.5442625,2961093.48239038,23196340.7440135,820251.212316812,604025.745146688,3378699.48429641,3690235.20161669,98264744.1663714,1
596.13842,1833045318.03056,2566670241.98113,22289766.8576805,32299.7408864318,1047308.99112719,250428.838123326,1329993.30576343,4423038.13231257,2368321.01261938,2191355.51904377,610436.326571242,1261529.89313663,1462984.5741106,3392813.10377118,1211149.72511541,1363871.7080565,628350.703457509,1861085.35476339,1663382.78774837,660599.428087491,1
594.28116,54297365.8586873,184258822.410526,161586.606274732,183244.001650182,200744.707998507,161584.045088825,396634.732512773,943651.299708796,357910.128855056,415662.68361215,435841.984829929,183438.084591464,100312.218293837,219539.894827397,434515.766836948,126364.793722432,128781.067223615,23252.7662915167,43187.4742269744,135601.736148466,1
594.27164,168324587.450629,86501611.2684477,1172559.21971907,2902818.93877829,248365.186883948,57618.1434085532,2190580.90113243,4922255.63228171,3359973.25432765,25424.6920433302,21474.1349573258,252164.843668026,901875.928999245,3787825.24478286,1458924.36058799,357954.349411313,115653.29442342,427086.68284749,585690.873486676,914979.632816769,1
594.15921,170359506.910515,125262563.192368,5759317.06662346,1520264.28292551,118928.342274412,643514.035786408,5405526.66652651,9833204.99265723,7138430.90381255,53581.8553652821,178448.381824592,99966.9261926794,1120442.98342846,1251802.36316991,1734862.75691362,278752.4216417,26907.7039524226,103464.102249092,92624.3261245462,5112954.56629881,1
594.15921,125596060.006956,5596505.43205918,208003.116993083,1622060.11740012,1515464.27512857,368485.456311007,NA,99100.2993870289,86572.2390422919,635715.49746001,259532.065350508,135138.476947074,710854.160799017,94769.9247058745,778967.107067022,232239.969296009,1583148.73858659,205072.155151732,1233517.21574986,919754.836101681,1
594.15921,121026583.651808,7331605.46437916,50949.3341617346,561228.774551229,931469.34406767,752780.362165907,NA,183431.271595379,349286.390242475,NA,197609.885686105,NA,261379.727446173,NA,84159.681155895,126220.228544173,498859.549238323,281747.912388225,NA,796221.978982681,1
594.15921,56398756.9461032,50173472.7600874,3096639.23764844,500909.635728976,1501609.77863526,202599.219455602,2702698.23952033,3306203.2201659,2773921.81669844,319775.266683325,786371.636997682,812003.274868576,819239.78251657,316615.298293691,1101612.79516203,143245.78902664,832909.184603049,1088700.83414593,175420.705783327,719673.907224221,1
594.13822,613892.11912659,705980.867229331,713067.472588152,119209331.391011,2495510.82747985,6101259.37726321,433070.016960985,2275870.82567337,724072.381230357,40300098.664434,7795230.4977419,10648206.1000805,21218538.9999549,29735357.1566616,67579230.9783498,16252399.5637887,12644473.1916817,47892900.7416328,23669622.159385,188562071.11271,1
588.43957,82725145.552641,11828496.9186636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
584.26856,NA,NA,39176.4536959537,103544.359147128,59167.079460271,604957.495570908,94202.9036046268,119863.008137276,218553238.976521,649920.202641419,49954.0326455967,34513.2313573264,67791.5365007168,NA,54529.6006978433,307772.792254635,283870.861116334,38664.7941521537,86549.9330937526,32861.1063186004,1
582.23196,9908655.44892087,NA,3592334.8256989,134120792.934447,305601519.776738,28358957.4587613,3161032.85988556,249053906.609638,47102100.2497601,16756737.526348,9233561.38405762,8603596.8711834,98715222.6258837,5368747.6909354,42267955.1548733,31103309.0054833,200143369.369377,4383865.47558833,17158156.629579,139820953.328383,1
582.19549,439148.77054924,NA,1367353.81926514,71092146.3438174,1101502.75568494,3092973.59296262,387235.837311028,2500319.46823449,985883.069568599,7540120.48902532,1245430.57695368,713577.744015806,2072595.51915218,2105951.73878166,27627261.867827,2171667.25542086,1001666.45145454,192908.192365437,339769.553167241,230013.141155603,1
582.15913,6735755.3051926,1063085.86399397,1950769.11478457,77661256.2707299,2639638.24676958,3686694.75811707,1635119.321185,2627649.46889847,1311820.03786393,43022724.0991848,10130902.3595834,12341171.548615,30268572.8080391,37876316.1524255,43193619.7515179,19528162.9548749,7059442.01454545,23706196.0559317,72033090.7778652,68283331.7254897,1
581.16225,10076753.6831285,14477911.3238885,NA,25832465.1115034,1568013.33674624,40093293.737153,25208.1263372204,1301048.8041622,61241.4986440298,2783705.80969564,4151952.94785374,5786499.47056036,3446782.20256204,13487672.953973,19238467.5507892,379251.117086686,21211514.7795791,21292786.6344545,33418468.8708216,73304767.5832843,1
580.27378,84180540.9016846,26978580.5492294,NA,40534.6386029652,NA,NA,NA,57783.1492411812,80720.9083971709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221609.534495919,1
580.15856,30893721.2980423,16673073.3398472,39194.5413465662,87066486.2321312,5306504.07720236,135262028.107062,25208.1263372204,4764451.2146404,215905.62345578,11434600.1521455,15019640.6869056,20955660.7531689,12908991.2694931,47284245.0521746,67142539.511128,1443449.63573849,73877721.0281344,73330838.6207643,116989222.940973,256469113.277886,1
580.15856,55879514.9382459,46230749.598321,77510.8442111371,42529542.4566346,256898.69827586,40311889.4551901,NA,244919.692158446,NA,306164.566592889,15875.6246828469,65834.8180784329,95563.5393407387,882073.45799139,27762411.4586694,NA,54167.1637630351,7030670.55530204,423546.365552155,23025709.1055931,1
580.14336,155211437.904595,180636180.067777,6113006.56450176,197788.350745737,NA,36494.1341420336,9249497.94957345,6365965.91874538,6610987.78592878,1039578.9128952,94484.1080204599,889401.768638871,1730490.16190155,858653.967895667,744482.749047263,53304.924891963,59906.9379100903,90453.9367414095,1470504.80117858,184460.073780586,1
580.14336,31108462.1747211,13677037.6084867,1275048.91482744,798772.820293471,40838.7795974358,42012.3845880472,809052.742522439,1449690.74965759,959437.766408474,1313233.79971566,1076073.84711854,1095360.79911837,52079.7429758856,425522.454142496,337230.679768423,1149502.01710847,767638.451996198,90453.9367414095,549051.403424471,1666246.8843449,1
580.14332,251395761.266439,282189280.863509,263020.393144169,23075506.2053471,NA,700530.642198711,NA,178113.431172812,721088.282050577,89827.6703635903,NA,NA,NA,303649.313827738,674717.135195384,56676.4596408211,NA,335238.327774039,33188.3003638105,52193.6497918227,1
579.1465,12976155.4124786,10651230.4371625,595086.531288889,53339807.7951134,17100566.2324661,216059820.520951,132975.689942942,2050824.34127308,792856.603635326,11322878.2855553,3968542.60844463,12814317.4694299,14597766.2423792,25013471.5326043,51535892.8830631,4730655.46028779,25626736.3157511,79945164.1774352,20367447.7120389,238085946.44118,1
578.34649,57608.6906240268,NA,1525346.20248764,68752718.1501531,3719542.72207438,1798841.83876627,3303232.2307422,1529287.51954374,1505789.48236009,76100287.913333,1408188.79104344,3740027.34639867,3296340.61974783,1354679.65870085,16552965.0609869,2318590.7445306,1035046.77065563,1928198.70865354,8531729.87893376,62079594.923361,1
578.27677,104633146.015896,302983091.797785,1655179.04107278,818738.083114762,165677.991774849,102241.339314261,1602665.99112768,2332042.20374429,1722230.48883433,20617.5795889947,37525.3277882642,1080869.55791227,738724.209140824,987574.072475468,1177428.04333425,28763.1424493579,11689.307063519,27840.9759284152,213960.229030256,362400.927277209,1
578.24047,570786.529767261,92691.6324371718,10645084.4679927,75026608.2181228,21619858.9105225,20756905.7998532,16582594.5941004,24217274.9325279,20249690.7381707,36959210.3960712,39526805.8522344,57772719.4282877,54273526.5614334,75705513.4629474,93735905.0924679,93152671.7641554,32560453.3640351,105515005.355148,37404567.9920392,47848261.3344717,1
578.14299,NA,NA,NA,39426310.3896278,NA,NA,NA,267861.926959852,262650.281736272,307395.04658362,125673.195737181,NA,21338.3196091905,NA,30669690.1793636,298471.552778766,NA,NA,413794.546711712,NA,1
578.14294,35419345.3163381,31878625.6043904,1670434.2225221,635951190.064919,10638535.3088429,263893149.951751,278523.29196371,5398828.22002809,807481.724053631,46156319.5411485,6049407.27811505,7002019.13639351,13863610.5522145,32100174.6780739,411627845.192197,6367366.8435977,7951770.13813889,67556974.1124785,15297694.6279143,242162025.882138,1
578.14291,52056674.525685,32521796.5758865,2139904.08261571,160718254.942094,59501270.4541633,759536110.39289,523005.767708379,8171451.11345938,3260571.76408075,40121262.2462007,14711548.2153691,45097956.8080731,51733901.091109,86603518.9788146,169844068.401742,17214170.3340333,89913064.809471,274838742.231353,68049594.0610123,789761864.99534,1
